Date,Open price,Highest price,Lowest price,Close price,Volume
"Feb 26, 2020","3,139.00","3,182.00","3,090.50","3,110.25","1,070,134"
"Feb 25, 2020","3,224.25","3,259.50","3,117.25","3,132.50","1,152,006"
"Feb 24, 2020","3,315.00","3,315.00","3,213.75","3,226.25","824,521"
"Feb 21, 2020","3,366.75","3,369.50","3,327.75","3,339.25","477,927"
"Feb 20, 2020","3,391.25","3,397.50","3,339.50","3,369.25","554,873"
"Feb 19, 2020","3,371.50","3,394.00","3,370.75","3,387.25","213,909"
"Feb 18, 2020","3,381.25","3,392.50","3,355.25","3,369.25","333,634"
"Feb 14, 2020","3,379.00","3,388.25","3,365.25","3,381.00","236,867"
"Feb 13, 2020","3,380.25","3,384.75","3,348.50","3,377.50","325,469"
"Feb 12, 2020","3,359.75","3,381.50","3,355.50","3,380.50","215,754"
"Feb 11, 2020","3,350.75","3,374.50","3,349.50","3,357.50","281,600"
"Feb 10, 2020","3,322.00","3,353.50","3,303.25","3,353.00","277,254"
"Feb 07, 2020","3,348.75","3,350.00","3,320.75","3,325.50","382,351"
"Feb 06, 2020","3,336.00","3,357.50","3,332.50","3,345.25","291,379"
"Feb 05, 2020","3,299.25","3,338.25","3,288.25","3,335.00","416,320"
"Feb 04, 2020","3,244.75","3,305.25","3,236.00","3,299.50","356,578"
"Feb 03, 2020","3,222.00","3,267.25","3,221.50","3,245.50","386,183"
"Jan 31, 2020","3,292.75","3,297.50","3,212.50","3,224.00","642,183"
"Jan 30, 2020","3,272.00","3,295.25","3,239.50","3,289.75","541,849"
"Jan 29, 2020","3,282.25","3,292.75","3,265.25","3,272.50","379,821"
"Jan 28, 2020","3,239.50","3,285.00","3,238.50","3,278.25","349,143"
"Jan 27, 2020","3,273.00","3,273.00","3,233.00","3,239.50","521,503"
"Jan 24, 2020","3,326.25","3,337.00","3,280.50","3,293.50","521,297"
"Jan 23, 2020","3,317.00","3,327.00","3,301.50","3,326.00","349,429"
"Jan 22, 2020","3,320.50","3,337.50","3,315.25","3,319.75","221,789"
"Jan 21, 2020","3,324.50","3,330.00","3,307.25","3,319.50","262,273"
"Jan 17, 2020","3,316.75","3,330.25","3,316.00","3,325.00","172,211"
"Jan 16, 2020","3,293.75","3,318.00","3,293.75","3,316.50","176,499"
"Jan 15, 2020","3,287.50","3,299.00","3,278.00","3,293.75","235,400"
"Jan 14, 2020","3,289.00","3,296.50","3,275.25","3,288.00","267,615"
"Jan 13, 2020","3,265.75","3,291.00","3,265.50","3,289.75","156,703"
"Jan 10, 2020","3,275.50","3,287.00","3,260.75","3,264.75","218,016"
"Jan 09, 2020","3,259.75","3,276.75","3,257.75","3,276.00","198,451"
"Jan 08, 2020","3,232.00","3,267.50","3,181.00","3,260.25","488,406"
"Jan 07, 2020","3,243.00","3,254.50","3,226.00","3,235.25","221,754"
"Jan 06, 2020","3,222.75","3,249.50","3,208.75","3,243.50","246,527"
"Jan 03, 2020","3,260.75","3,263.25","3,207.00","3,235.50","310,875"
"Jan 02, 2020","3,237.00","3,261.75","3,234.25","3,259.00","178,832"
